department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
PSY;397;"Community Behavioral Health Internship";0001;FEX;25981;TBA;TBA;Mariella R Squire;09/03/2013 - 12/20/2013
PSY;412;"Adulthood and Aging";2001;LEC;25980;TBA;Online;Robert Hansen;09/03/2013 - 12/20/2013
SED;335;"Program Planning and Curriculum Adaptation";2001;LEC;27278;TBA;Online;Barbara Lee Robinson;09/03/2013 - 12/20/2013
SED;345;"Behavior Strategies and Social Skills Development";2001;LEC;27279;TBA;Online;Roland K Caron;09/03/2013 - 12/20/2013
SED;365;"Instructional Methods";2001;LEC;27280;TBA;Online;Roland K Caron;09/03/2013 - 12/20/2013
SED;370;"Teaching Reading and Writing to Exceptional Students";2001;LEC;27281;TBA;Online;Dale A Bailey;09/03/2013 - 12/20/2013
SED;405;"Response to Intervention and Learning Disabilities";2001;LEC;27283;TBA;Online;Diane M Castonguay;09/03/2013 - 12/20/2013
SOC;100;"Introduction to Sociology";2001;LEC;25982;TBA;Online;Joseph Bjerklie;09/03/2013 - 12/20/2013
SOC;110;"Intro to Human Services and Mental Health";0001;LEC;26445;Tu 6:30PM - 9:20PM;Cyr Hall 203;Linda Marie Hicks;09/03/2013 - 12/20/2013
SOC;348;"Food";2001;LEC;25983;TBA;Online;Mariella R Squire;09/03/2013 - 12/20/2013
SPA;101;"Elementary Spanish II";2001;LEC;25752;TBA;Online;Paul Franklin Buck;09/03/2013 - 12/20/2013
