department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
PSY;102;"Personal Growth";0003;LEC;25355;TBA;Web;Matthew David Day;09/03/2013 - 12/14/2013
PSY;110;"Intro to Psychology";0002;LEC;25358;TBA;Web;Heather Leigh Ball;09/03/2013 - 12/14/2013
PSY;200;"Behavioral Health Professional";0001;LEC;30784;We 4:00PM - 6:50PM;Torrey 226;Barbara K Koch;09/03/2013 - 12/14/2013
PSY;201;"Developmental Psychology";0001;WEB;29182;TBA;Web;Jordan A Litman;09/03/2013 - 12/14/2013
PSY;211;"Introduction to Behavioral &amp; Community Health Systems";0001;LEC;25207;Tu 5:30PM - 8:20PM;Torrey 232;Meghan W Duff;09/03/2013 - 12/14/2013
PSY;212;"Lifespan I";0002;LEC;25366;TBA;Web;Helena L Schnieders;09/03/2013 - 12/14/2013
PSY;213;"Psychosocial Rehabilitation Practices";0002;LEC;25383;TBA;Web;Frank J Lane;09/03/2013 - 12/14/2013
PSY;215;"Psychology of Gender";0001;LEC;25393;TBA;Web;Jordan A Litman;12/30/2013 - 01/17/2014
PSY;221;"Health Psychology";0001;WEB;25401;TBA;Web;Jordan A Litman;09/03/2013 - 12/14/2013
PSY;222;"Psychology Professions &amp; Ethics";0001;LEC;25211;Mo 5:30PM - 8:20PM;Torrey 104;Charles C Crittenden;09/03/2013 - 12/14/2013
PSY;311;"Social Psychology";0002;LEC;29228;TBA;Web;Uriah Anderson;09/03/2013 - 12/14/2013
PSY;317;"Environmental Psychology";0001;LEC;25420;TBA;Web;Uriah Anderson;09/03/2013 - 12/14/2013
PSY;332;"Crisis Identification &amp; Resolution";0001;LEC;25213;We 5:30PM - 8:20PM;Torrey 221;Corey K Schwinn;09/03/2013 - 12/14/2013
PSY;351;"Chemical Dependency &amp; Dual Diagnosis Counseling";0001;LEC;25444;MoTuWeThFr 9:00AM - 4:50PM;Torrey 221;Meghan W Duff;08/23/2013 - 08/30/2013
SED;100;"Animal Behavior &amp; Selection of Service Dogs";0010;LEC;30155;Mo 1:00PM - 3:50PM;East Millinocket Center;Katherine C Hecht;09/03/2013 - 12/14/2013
SED;101;"Animal Behavior &amp; Selection of Service Dogs Lab";0003;LAB;25748;Mo 5:00PM - 6:45PM;Bangor Hall - UCB;Katherine C Hecht;09/03/2013 - 12/14/2013
SED;310;"Dimensions of Exceptionality in the Classroom";0010;LEC;29368;Mo 9:00AM - 11:45AM;Lewiston-Auburn College;Heather Leigh Ball;09/03/2013 - 12/14/2013
SED;316;"Working with Students with Emotional Disabilities";0001;LEC;25425;TBA;Web;Helena L Schnieders;09/03/2013 - 12/14/2013
SED;320;"Special Education Law";0001;WEB;24472;TBA;Web;Joseph L Cassidy;09/03/2013 - 12/14/2013
SED;321;"Data &amp; Standards";0001;LEC;27401;TBA;Web;Christi McCurry;09/03/2013 - 12/14/2013
SED;325;"Assessment in Special Education";0012;LEC;29385;Th 1:00PM - 3:45PM;Presque Isle Campus;Heather Leigh Ball;09/03/2013 - 12/14/2013
SED;329;"Internship in Special Education";0001;FEX;24988;TBA;TBA;Heather Leigh Ball;09/03/2013 - 12/14/2013
SED;330;"Math in Special Education";0001;WEB;24488;TBA;Web;Christi McCurry;09/03/2013 - 12/14/2013
SED;362;"Typical &amp; Atypical Expressive &amp; Receptive Language";0001;WEB;24499;TBA;Web;Kenny P Bourgoin;09/03/2013 - 12/14/2013
SED;490;"Student Teaching in Special Education";0001;FEX;24500;Fr 2:30PM - 3:45PM;Torrey 102;Heather Leigh Ball;09/03/2013 - 12/14/2013
SOC;114;"Intro to Sociology";0002;LEC;25431;TBA;Web;Pamela Feeney;09/03/2013 - 12/14/2013
SOC;313;"Sociology of Globalization";0001;LEC;25734;TBA;Web;Pamela Feeney;09/03/2013 - 12/14/2013
SPA;101;"Elementary Spanish I";0001;LEC;29184;TuTh 3:30PM - 4:50PM;Torrey 232;Amanda Cornett;09/03/2013 - 12/14/2013
THE;101;"Intro to Theatre";0001;LEC;25223;TuTh 3:30PM - 4:50PM;Science&nbsp; 109;Arthur E Hill;09/03/2013 - 12/14/2013
WST;110;"Intro to Women's Studies";0001;LEC;25451;TBA;Web;Charles C Crittenden;09/03/2013 - 12/14/2013
WST;212;"Special Topics in Women's Studies";0001;LEC;25738;TBA;Web;Jordan A Litman;12/30/2013 - 01/17/2014
WST;312;"Special Topics in Women's Studies";0001;LEC;25544;TuTh 11:00AM - 12:20PM;Torrey 228;Kay S Kimball;09/03/2013 - 12/14/2013
