department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
CRJ;496;"Field Experience";001;FEX;4228;View Details;TBA;UMPI Arranged Space;Lisa R Leduc;01/22/2013 - 05/16/2013
ECO;100;"Contemporary Economics";0001;LEC;10878;View Details;MoWe 3:30PM - 4:45PM;Pullen Hall 215;Robert L Murray;01/22/2013 - 05/16/2013
ECO;100;"Contemporary Economics";0002;LEC;10881;View Details;MoWe 3:30PM - 4:45PM;Houlton Center;Robert L Murray;01/22/2013 - 05/16/2013
ECO;207;"Macro &amp; Micro Economics";0001;LEC;4197;View Details;TBA;ONLINE;Robert L Murray;01/22/2013 - 05/16/2013
EDU;150;"Exploring Edu in Contemp Amer";0001;LEC;12687;View Details;TBA;ONLINE;Zhijun Wu;01/22/2013 - 05/16/2013
EDU;150;"Exploring Edu in Contemp Amer";0002;LEC;12861;View Details;MoWe 11:00AM - 12:15PM;Normal 104A;Tomasz Z Herzog;01/22/2013 - 05/16/2013
EDU;200;"Learner &amp; Learning Process";0001;LEC;12691;View Details;TBA;ONLINE;Zhijun Wu;01/22/2013 - 05/16/2013
EDU;261;"Educational Computing";0001;LEC;12692;View Details;TBA;ONLINE;Jing Qi;01/22/2013 - 05/16/2013
EDU;261;"Educational Computing";0002;LEC;12864;View Details;TuTh 2:00PM - 3:15PM;Folsom Hall 101A;Terry J Chalou;01/22/2013 - 05/16/2013
EDU;316;"Assessment for Learning";001;LEC;12693;View Details;TBA;ONLINE;Zhijun Wu;01/22/2013 - 05/16/2013
EDU;350;"Children and Grief &amp; Its Impact on Learning";0001;LEC;13665;View Details;MoWe 3:30PM - 4:45PM;Normal 106;Shirley J Rush;01/22/2013 - 05/16/2013
EDU;351;"Teaching Elementary Reading";0001;LEC;12863;View Details;MoWe 2:00PM - 3:15PM;Normal 106;Barbara Smith Chalou;01/22/2013 - 05/16/2013
EDU;352;"Collaboration &amp; Consultation in General and Special Education";0001;LEC;12908;View Details;MoWe 11:00AM - 12:15PM;Pullen Hall 212;William A Breton;01/22/2013 - 05/16/2013
EDU;353;"Reading/Writing/Content Area";0001;LEC;12698;View Details;TBA;ONLINE;Karin Elaine Howe;01/22/2013 - 05/16/2013
EDU;357;"Children's Literature";0001;LEC;12696;View Details;TBA;ONLINE;Barbara Smith Chalou;01/22/2013 - 05/16/2013
EDU;357;"Children's Literature";0002;LEC;12858;View Details;TuTh 9:30AM - 10:45AM;Normal 106;Barbara Smith Chalou;01/22/2013 - 05/16/2013
EDU;361;"Teach Science in Elem School";0001;LEC;12697;View Details;TBA;ONLINE;Theodore R Shields;01/22/2013 - 05/16/2013
EDU;361;"Teach Science in Elem School";0002;LEC;13781;View Details;TBA;ONLINE;Theodore R Shields;01/22/2013 - 05/16/2013
EDU;363;"Teaching Science in Secondary School";6WK2;LEC;14051;View Details;TBA;ONLINE;Theodore R Shields;03/18/2013 - 05/03/2013
