department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
ARP;100;"Academic Recovery Seminar";0001;SEM;2780;View Details;Mo 11:00AM - 11:50AM;Nutting Hall 212;Kristen Healy O'Neill;01/21/2013 - 04/29/2013
ARP;100;"Academic Recovery Seminar";0002;SEM;2781;View Details;We 11:00AM - 11:50AM;Merrill Hall 114;Jennifer Marie Boynton;01/23/2013 - 05/01/2013
ARP;100;"Academic Recovery Seminar";0003;SEM;2782;View Details;Mo 11:00AM - 11:50AM;Merrill Hall 114;Dominick Varney;01/21/2013 - 04/29/2013
ARP;100;"Academic Recovery Seminar";0004;SEM;2783;View Details;Mo 12:10PM - 1:00PM;Nutting Hall 213;Faith Ann Erhardt;01/21/2013 - 04/29/2013
ARP;100;"Academic Recovery Seminar";0005;SEM;2784;View Details;We 12:10PM - 1:00PM;Merrill Hall 114;Faith Ann Erhardt;01/23/2013 - 05/01/2013
ARP;100;"Academic Recovery Seminar";0006;SEM;2785;View Details;Mo 12:10PM - 1:00PM;Merrill Hall 114;Jennifer Marie Boynton;01/21/2013 - 04/29/2013
ARP;100;"Academic Recovery Seminar";0007;SEM;2786;View Details;Tu 11:00AM - 11:50AM;Nutting Hall 212;William Osmer;01/22/2013 - 04/30/2013
ARP;100;"Academic Recovery Seminar";0008;SEM;2787;View Details;Th 11:00AM - 11:50AM;Dunn Hall 316;William Osmer;01/24/2013 - 05/02/2013
ARP;100;"Academic Recovery Seminar";0009;SEM;3585;View Details;Tu 11:00AM - 11:50AM;Donald P Corbett Business 109;Rhea J Robbins;01/22/2013 - 04/30/2013
ARP;100;"Academic Recovery Seminar";0010;SEM;3586;View Details;Th 11:00AM - 11:50AM;Little Hall 218;Rhea J Robbins;01/24/2013 - 05/02/2013
ARP;100;"Academic Recovery Seminar";0011;SEM;8240;View Details;Tu 12:30PM - 1:20PM;Nutting Hall 212;Dominick Varney;01/22/2013 - 04/30/2013
ARP;100;"Academic Recovery Seminar";0012;SEM;8241;View Details;Th 12:30PM - 1:20PM;Nutting Hall 212;Kristen Healy O'Neill;01/24/2013 - 05/02/2013
ART;100;"Drawing I";0501;LAB;2502;View Details;TuTh 9:00AM - 11:30AM;Carnegie Hall 100;Susan Dexter Camp;01/14/2013 - 05/03/2013;TuTh 9:00AM - 11:30AM;Carnegie Hall 101;Susan Dexter Camp;01/14/2013 - 05/03/2013
ART;100;"Drawing I";0502;LAB;2503;View Details;MoWe 12:30PM - 3:00PM;Carnegie Hall 100;Nina Jerome Sutcliffe;01/14/2013 - 05/03/2013;MoWe 12:30PM - 3:00PM;Carnegie Hall 101;Nina Jerome Sutcliffe;01/14/2013 - 05/03/2013
ART;100;"Drawing I";0503;LAB;2504;View Details;TuTh 6:00PM - 8:30PM;Carnegie Hall 100;Ronald E Nadeau;01/14/2013 - 05/03/2013;TuTh 6:00PM - 8:30PM;Carnegie Hall 101;Ronald E Nadeau;01/14/2013 - 05/03/2013
ART;100;"Drawing I";0504;LAB;2505;View Details;MoWe 3:10PM - 5:40PM;Carnegie Hall 100;Ronald E Nadeau;01/14/2013 - 05/03/2013;MoWe 3:10PM - 5:40PM;Carnegie Hall 101;Ronald E Nadeau;01/14/2013 - 05/03/2013
ART;100;"Drawing I";0505;LAB;7861;View Details;MoWe 6:00PM - 8:30PM;Carnegie Hall 100;Louise Bourne;01/14/2013 - 05/03/2013;MoWe 6:00PM - 8:30PM;Carnegie Hall 101;Louise Bourne;01/14/2013 - 05/03/2013
ART;100;"Drawing I";0665;LAB;3903;View Details;TuTh 4:00PM - 6:30PM;Frederick Hutchinson Cent 133;Kerstin L Engman;01/14/2013 - 05/03/2013
